customer_id,customer_name,customer_phone,customer_cc,customer_lon,customer_lat
62,Enrico Durgan,1-019-157-9102x523,4486183167973897,-122.45406,37.733375
63,Winifred Pouros,767.470.0612x5162,4640396892136407,-122.408448,37.744508
64,Mr. Cordero Mills PhD,572.996.5449x586,6011940980215691136,-122.422855,37.755872
65,Karri Klocko,949.965.4763x7306,869977490591300554,-122.408769,37.736625
66,Dr. Leafy Konopelski DVM,106-220-5381x53068,561232971452167,-122.41275,37.744611
67,Jailyn Hamill-Davis,1-897-870-1547x5100,3337396553363641325,-122.47142,37.742221
68,Amari Pacocha-Rowe,+20(8)4749023452,4528938131941001,-122.406305,37.729418
69,Anwar Smitham,339-201-9233,3709843967994496,-122.441337,37.777916
70,Monty Larson,(326)767-7672,3475037374510867,-122.412427,37.745977
71,Bena Oberbrunner,1-240-165-9121x4358,869976328279475655,-122.410416,37.782464
72,Ora White,(881)135-8500x03867,3337726745535771821,-122.48252599999999,37.777711
73,Dr. Jovani Reilly,421-644-4966,3096286099459946452,-122.42487,37.763603
74,Brandin Kertzmann Sr.,891-756-9069x2414,3158101762548619447,-122.422526,37.75765
75,Mr. Rasheed Jones,(036)123-4076x606,210077033356253640,-122.441946,37.727967
76,Natalia Treutel PhD,(302)734-2566x240,676366727017338,-122.413286,37.780618
77,Norton Effertz-Von,1-640-343-4371x713,3088771743594695662,-122.471075,37.771564
78,Conway Wintheiser,06956995253,4339714766963,-122.433726,37.756198
79,Ida Robel,+85(1)3917976109,4398920547713080,-122.427309,37.747252
80,Delpha Barrows,711.920.3107,4555981605622,-122.449696,37.787855
81,Mr. Admiral Brown,1-080-334-4261,3415133457770404,-122.441575,37.770951
82,Wells Daugherty,376-085-4655x607,4686693224871,-122.473428,37.750542
83,Jorden Bogisich,(460)753-6411,869945639849519543,-122.435714,37.757324
84,Dian Franecki,04166996317,4544405025950548,-122.484046,37.780464
85,Theda Thompson,762.740.8910x58912,6011417425452798701,-122.422569,37.750005
86,Trudy Swift-Kshlerin,(108)682-3140x99663,180035725667144274,-122.411744,37.734029
87,Dr. Ace Considine MD,164-204-5556x8137,4952741493417353,-122.472162,37.759038
88,Mr. Reginald Lindgren,(297)577-1128,3088238452757487068,-122.48254,37.739456
89,Ceil Raynor-Daugherty,311-779-9738,3337921202149283325,-122.428361,37.733896
90,Ettie Pouros DDS,999-919-1981x85923,6011927062371418013,-122.434935,37.753378
